start,end,label,color
1960,1970,The Beatles, #FFFFFF
1965,1995,Pink Floyd, #FFFFFF
1968,1980,Led Zeppelin, #FFFFFF
1962,2017,The Rolling Stones, #FFFFFF
1964,1983,The Who, #FFFFFF
1996,2017,The Who, #FFFFFF
1990,2017,Pearl Jam, #FFFFFF
1970,2017,Queen, #FFFFFF
1963,1970,Jimi Hendrix, #FFFFFF
1965,1995,Grateful Dead, #FFFFFF
1985,2017,Guns N' Roses, #FFFFFF
1981,2017,Metallica, #FFFFFF
1973,2017,AC/DC, #FFFFFF
1976,2017,U2, #FFFFFF
1970,2017,Aerosmith, #FFFFFF
1983,2017,Red Hot Chili Peppers, #FFFFFF
1968,2006,Black Sabbath, #FFFFFF
1987,1997,Nirvana, #FFFFFF
1968,2017,Yes, #FFFFFF
1961,2017,The Beach Boys, #FFFFFF
1967,2012,Jethro Tull, #FFFFFF
