start,end,label
1971,,Led Zeppelin IV
1973,,The Dark Side of the Moon
1882,,Tchaikovsky 1812 Overture
1893,,Tchaikovsky Ballet Suites
1943,,South Pacific
1951,,The King and I
1992,,Rogers and Hammersteins Songbook for Orchestra
2003,,The Lord of the Rings: The Return of the King OST
2007,,Alive
2002,,Night Food
2003,,Kal Ho Naa Ho
2005,,Heroes of Earth
2005,,November's Chopin
2005,,Sweet Noodle Pop
2006,,rodrigo y gabriela
2006,,Straight Outta Lynwood
2006,,World World World
2007,,Alive
2007,,Change Me
2008,,Katekyo Hitman Reborn OP&EDs Vol 1
2008,,The Merchants of Bollywood
2009,,BEST HIT NARUTO
2009,,Tum Mile
2010,,gothic lolita agitator
2010,,Katekyo Hitman Reborn OP&EDs Vol 3
2010,,Rapstar Compilation BEST&BEST
2010,,Vocalize
2011,,Closer To You
2011,,Moloch
2012,,abnormalize
2012,,EndlesssroLL
2012,,Last Color
2012,,memoReal
2012,,Namae no nai Kaibutsu
2013,,All Alone With You
2013,,Great Escape
2013,,Out of Control
2013,,PAX VESANIA
2013,,Senza Paura
2013,,SPLASH FREE
2013,,The Bones of What You Believe
2014,,Daisy
2014,,Enigmatic Feeling
2014,,Fallen
2014,,Mue
2015,,Your Love
2015,,Finsterforst
2015,,Schock
2015,,Leichtes Gepack
2016,,Control
2011,,Vocalonation
2016,,DNCE
2016,,Made
2015,,INNA
2015,,Amanecer
